frame,time_s,count_bus,count_car,count_motorcycle,count_truck,occupancy
0,0.0,,8,,,8
1,0.033,,8,,,8
2,0.067,,8,,,8
3,0.1,,6,,,6
4,0.133,,7,,,7
5,0.167,,7,,,7
6,0.2,,6,,,6
7,0.233,,6,,,6
8,0.267,,6,,,6
9,0.3,,6,,,6
10,0.333,,6,,,6
11,0.367,,6,,,6
12,0.4,,6,,,6
13,0.433,,9,,,9
14,0.467,,9,,,9
15,0.5,,7,,,7
16,0.533,,7,,,7
17,0.567,,7,,,7
18,0.6,,7,,,7
19,0.633,,10,,,10
20,0.667,,10,,,10
21,0.7,,7,,,7
22,0.733,,7,,,7
23,0.767,,7,,,7
24,0.8,,5,,,5
25,0.833,,7,,,7
26,0.867,,7,,,7
27,0.9,,4,,,4
28,0.933,,6,,,6
29,0.967,,6,,,6
30,1.0,,3,,,3
31,1.033,,4,,,4
32,1.067,,4,,,4
33,1.1,,2,,,2
34,1.133,,3,,,3
35,1.167,,3,,,3
36,1.2,,2,,,2
37,1.233,,8,,,8
38,1.267,,8,,,8
39,1.3,,3,,,3
40,1.333,,7,,,7
41,1.367,,7,,,7
42,1.4,,6,,,6
43,1.433,,7,,,7
44,1.467,,7,,,7
45,1.5,,4,,,4
46,1.533,,6,,,6
47,1.567,,6,,,6
48,1.6,,5,,,5
49,1.633,,7,,,7
50,1.667,,7,,,7
51,1.7,,5,,,5
52,1.733,,6,,,6
53,1.767,,6,,,6
54,1.8,,4,,,4
55,1.833,,7,,,7
56,1.867,,7,,,7
57,1.9,,3,,,3
58,1.933,,5,,,5
59,1.967,,5,,,5
60,2.0,,3,,,3
61,2.033,,7,,,7
62,2.067,,7,,,7
63,2.1,,4,,,4
64,2.133,,5,,,5
65,2.167,,5,,,5
66,2.2,,4,,,4
67,2.233,,9,,,9
68,2.267,,9,,,9
69,2.3,,7,,,7
70,2.333,,10,,,10
71,2.367,,10,,,10
72,2.4,,3,,,3
73,2.433,,5,,,5
74,2.467,,5,,,5
75,2.5,,3,,,3
76,2.533,,4,,,4
77,2.567,,4,,,4
78,2.6,,3,,,3
79,2.633,,6,,,6
80,2.667,,6,,,6
81,2.7,,5,,,5
82,2.733,,7,,,7
83,2.767,,7,,,7
84,2.8,,5,,,5
85,2.833,,6,,,6
86,2.867,,6,,,6
87,2.9,,4,,,4
88,2.933,,5,,,5
89,2.967,,5,,,5
90,3.0,,5,,,5
91,3.033,,6,,,6
92,3.067,,6,,,6
93,3.1,,5,,,5
94,3.133,,5,,,5
95,3.167,,5,,,5
96,3.2,,5,,,5
97,3.233,,6,,,6
98,3.267,,6,,,6
99,3.3,,6,,,6
100,3.333,,7,,,7
101,3.367,,7,,,7
102,3.4,,6,,,6
103,3.433,,6,,,6
104,3.467,,6,,,6
105,3.5,,6,,,6
106,3.533,,6,,,6
107,3.567,,6,,,6
108,3.6,,6,,,6
109,3.633,,6,,,6
110,3.667,,6,,,6
111,3.7,,6,,,6
112,3.733,,8,,,8
113,3.767,,8,,,8
114,3.8,,6,,,6
115,3.833,,8,,,8
116,3.867,,8,,,8
117,3.9,,6,,,6
118,3.933,,7,,,7
119,3.967,,7,,,7
120,4.0,,6,,,6
121,4.033,,7,,,7
122,4.067,,7,,,7
123,4.1,,6,,,6
124,4.133,,7,,,7
125,4.167,,7,,,7
126,4.2,,6,,,6
127,4.233,,6,,,6
128,4.267,,6,,,6
129,4.3,,6,,,6
130,4.333,,8,,,8
131,4.367,,8,,,8
132,4.4,,5,,,5
133,4.433,,7,,,7
134,4.467,,7,,,7
135,4.5,,5,,,5
136,4.533,,6,,,6
137,4.567,,6,,,6
138,4.6,,4,,,4
139,4.633,,5,,,5
140,4.667,,5,,,5
141,4.7,,4,,,4
142,4.733,,5,,,5
143,4.767,,5,,,5
144,4.8,,4,,,4
145,4.833,,5,,,5
146,4.867,,5,,,5
147,4.9,,4,,,4
148,4.933,,5,,,5
149,4.967,,5,,,5
150,5.0,,14,,,14
151,5.033,,14,,,14
152,5.067,,14,,,14
153,5.1,,13,,,13
154,5.133,,14,,,14
155,5.167,,14,,,14
156,5.2,,12,,,12
157,5.233,,13,,,13
158,5.267,,13,,,13
159,5.3,,11,,,11
160,5.333,,12,,,12
161,5.367,,12,,,12
162,5.4,,12,,,12
163,5.433,,12,,,12
164,5.467,,12,,,12
165,5.5,,12,,,12
166,5.533,,13,,,13
167,5.567,,13,,,13
168,5.6,,12,,,12
169,5.633,,12,,,12
170,5.667,,12,,,12
171,5.7,,12,,,12
172,5.733,,14,,,14
173,5.767,,14,,,14
174,5.8,,12,,,12
175,5.833,,12,,,12
176,5.867,,12,,,12
177,5.9,,12,,,12
178,5.933,,14,,,14
179,5.967,,14,,,14
180,6.0,,12,,,12
181,6.033,,13,,,13
182,6.067,,13,,,13
183,6.1,,14,,,14
184,6.133,,14,,,14
185,6.167,,14,,,14
186,6.2,,13,,,13
187,6.233,,13,,,13
188,6.267,,13,,,13
189,6.3,,13,,,13
190,6.333,,13,,,13
191,6.367,,13,,,13
192,6.4,,13,,,13
193,6.433,,14,,,14
194,6.467,,14,,,14
195,6.5,,12,,,12
196,6.533,,12,,,12
197,6.567,,12,,,12
198,6.6,,11,,,11
199,6.633,,12,,,12
200,6.667,,12,,,12
201,6.7,,13,,,13
202,6.733,,14,,,14
203,6.767,,14,,,14
204,6.8,,15,,,15
205,6.833,,15,,,15
206,6.867,,15,,,15
207,6.9,,12,,,12
208,6.933,,15,,,15
209,6.967,,15,,,15
210,7.0,,12,,,12
211,7.033,,12,,,12
212,7.067,,12,,,12
213,7.1,,11,,,11
214,7.133,,14,,,14
215,7.167,,14,,,14
216,7.2,,12,,,12
217,7.233,,14,,,14
218,7.267,,14,,,14
219,7.3,,11,,,11
220,7.333,,12,,,12
221,7.367,,12,,,12
222,7.4,,12,,,12
223,7.433,,12,,,12
224,7.467,,12,,,12
225,7.5,,10,,,10
226,7.533,,12,,,12
227,7.567,,12,,,12
228,7.6,,10,,,10
229,7.633,,11,,,11
230,7.667,,11,,,11
231,7.7,,10,,,10
232,7.733,,10,,,10
233,7.767,,10,,,10
234,7.8,,10,,,10
235,7.833,,11,,,11
236,7.867,,11,,,11
237,7.9,,10,,,10
238,7.933,,11,,,11
239,7.967,,11,,,11
240,8.0,,10,,,10
241,8.033,,11,,,11
242,8.067,,11,,,11
243,8.1,,11,,,11
244,8.133,,12,,,12
245,8.167,,12,,,12
246,8.2,,11,,1,12
247,8.233,,13,,1,14
248,8.267,,13,,1,14
249,8.3,,8,,1,9
250,8.333,,8,,1,9
251,8.367,,8,,1,9
252,8.4,,8,,1,9
253,8.433,,9,,1,10
254,8.467,,9,,1,10
255,8.5,,8,,1,9
256,8.533,,10,,1,11
257,8.567,,10,,1,11
258,8.6,,8,,1,9
259,8.633,,9,,1,10
260,8.667,,9,,1,10
261,8.7,,6,,1,7
262,8.733,,8,,1,9
263,8.767,,8,,1,9
264,8.8,1,7,,,8
265,8.833,1,7,,1,9
266,8.867,1,7,,1,9
267,8.9,,8,,1,9
268,8.933,,9,,1,10
269,8.967,,9,,1,10
270,9.0,,7,,1,8
271,9.033,,8,,1,9
272,9.067,,9,,1,10
273,9.1,,7,,1,8
274,9.133,,8,,1,9
275,9.167,,8,,1,9
276,9.2,,8,,1,9
277,9.233,,8,,1,9
278,9.267,,8,,1,9
279,9.3,,6,,1,7
280,9.333,,6,,2,8
281,9.367,,6,,2,8
282,9.4,,6,,1,7
283,9.433,,7,,1,8
284,9.467,,7,,1,8
285,9.5,,5,,1,6
286,9.533,,9,,1,10
287,9.567,,9,,1,10
288,9.6,,6,,1,7
289,9.633,,6,,1,7
290,9.667,,6,,1,7
291,9.7,,6,,1,7
292,9.733,,7,,1,8
293,9.767,,7,,1,8
294,9.8,,6,,1,7
295,9.833,,9,,1,10
296,9.867,,9,,1,10
297,9.9,,7,,1,8
298,9.933,,8,,1,9
299,9.967,,8,,1,9
300,10.0,,6,,1,7
301,10.033,,7,,1,8
302,10.067,,7,,1,8
303,10.1,,6,,1,7
304,10.133,,6,,1,7
305,10.167,,6,,1,7
306,10.2,,6,,1,7
307,10.233,,7,,1,8
308,10.267,,7,,1,8
309,10.3,,6,,1,7
310,10.333,,8,,1,9
311,10.367,,8,,1,9
312,10.4,,7,,,7
313,10.433,,8,,,8
314,10.467,,8,,,8
315,10.5,,7,,,7
316,10.533,,7,,1,8
317,10.567,,7,,1,8
318,10.6,1,5,,1,7
319,10.633,1,6,,1,8
320,10.667,1,7,,1,9
321,10.7,,7,,1,8
322,10.733,1,9,,1,11
323,10.767,,9,,1,10
324,10.8,,8,,,8
325,10.833,,8,,,8
326,10.867,,8,,,8
327,10.9,,7,,,7
328,10.933,,8,,,8
329,10.967,,9,,,9
330,11.0,,3,,,3
331,11.033,,8,,,8
332,11.067,,8,,,8
333,11.1,,5,,,5
334,11.133,,6,,,6
335,11.167,,6,,,6
336,11.2,,5,,,5
337,11.233,,6,,,6
338,11.267,,6,,,6
339,11.3,,6,,,6
340,11.333,,7,,,7
341,11.367,,7,,,7
342,11.4,,6,,,6
343,11.433,,6,,,6
344,11.467,,6,,,6
345,11.5,,6,,,6
346,11.533,,7,,,7
347,11.567,,7,,,7
348,11.6,,5,,,5
349,11.633,,6,,,6
350,11.667,,6,,,6
351,11.7,,6,,,6
352,11.733,,8,,1,9
353,11.767,,8,,1,9
354,11.8,,9,,1,10
355,11.833,,9,,1,10
356,11.867,,9,,1,10
357,11.9,,7,,1,8
358,11.933,,8,,1,9
359,11.967,,8,,1,9
360,12.0,,7,,1,8
361,12.033,,8,,1,9
362,12.067,,8,,1,9
363,12.1,,7,,1,8
364,12.133,,7,,1,8
365,12.167,,7,,1,8
366,12.2,,7,,1,8
367,12.233,,9,,1,10
368,12.267,,9,,1,10
369,12.3,,6,,1,7
370,12.333,,9,,1,10
371,12.367,,9,,1,10
372,12.4,,9,,,9
373,12.433,,12,,1,13
374,12.467,,12,,1,13
375,12.5,,6,,1,7
376,12.533,,9,,1,10
377,12.567,,9,,1,10
378,12.6,,7,,,7
379,12.633,,7,,1,8
380,12.667,,7,,1,8
381,12.7,,5,,1,6
382,12.733,,8,,1,9
383,12.767,,8,,1,9
384,12.8,,5,,,5
385,12.833,,6,,,6
386,12.867,,6,,,6
387,12.9,,5,,,5
388,12.933,,7,,1,8
389,12.967,,7,,1,8
390,13.0,,6,,,6
391,13.033,,8,,,8
392,13.067,,8,,,8
393,13.1,,6,,,6
394,13.133,,8,,,8
395,13.167,,8,,,8
396,13.2,,6,,,6
397,13.233,,7,,,7
398,13.267,,7,,,7
399,13.3,,5,,,5
400,13.333,,8,,1,9
401,13.367,,8,,1,9
402,13.4,,4,,1,5
403,13.433,,6,,1,7
404,13.467,,6,,1,7
405,13.5,,5,,1,6
406,13.533,,8,,2,10
407,13.567,,8,,2,10
408,13.6,,5,,1,6
409,13.633,,8,,1,9
410,13.667,,8,,1,9
411,13.7,,4,,,4
412,13.733,,7,,,7
413,13.767,,7,,,7
414,13.8,,5,,,5
415,13.833,,10,,,10
416,13.867,,10,,,10
417,13.9,,6,,1,7
418,13.933,,8,,1,9
419,13.967,,8,,1,9
420,14.0,,6,,1,7
421,14.033,,7,,1,8
422,14.067,,7,,1,8
423,14.1,,5,,1,6
424,14.133,,9,,2,11
425,14.167,,9,,2,11
426,14.2,,4,,,4
427,14.233,,8,,1,9
428,14.267,,8,,1,9
429,14.3,,4,,,4
430,14.333,,7,,1,8
431,14.367,,7,,1,8
432,14.4,,4,,1,5
433,14.433,,7,,1,8
434,14.467,,7,,1,8
435,14.5,,4,,1,5
436,14.533,,6,,1,7
437,14.567,,6,,1,7
438,14.6,,4,,1,5
439,14.633,,6,,1,7
440,14.667,,6,,1,7
441,14.7,,6,,2,8
442,14.733,,6,,2,8
443,14.767,,6,,2,8
444,14.8,,5,,2,7
445,14.833,,6,,2,8
446,14.867,,6,,2,8
447,14.9,,5,,2,7
448,14.933,1,6,,2,9
449,14.967,1,6,,2,9
450,15.0,1,7,,,8
451,15.033,1,7,,,8
452,15.067,1,7,,,8
453,15.1,1,7,,,8
454,15.133,1,8,,1,10
455,15.167,,8,,1,9
456,15.2,,5,,,5
457,15.233,,6,,1,7
458,15.267,,6,,1,7
459,15.3,,5,,1,6
460,15.333,,6,,1,7
461,15.367,,6,,1,7
462,15.4,,5,,1,6
463,15.433,,5,1,1,7
464,15.467,,5,1,1,7
465,15.5,,5,,1,6
466,15.533,,6,1,1,8
467,15.567,,6,1,1,8
468,15.6,,5,,1,6
469,15.633,,5,1,1,7
470,15.667,,5,1,1,7
471,15.7,,5,,1,6
472,15.733,,5,1,1,7
473,15.767,,5,1,1,7
474,15.8,,5,,1,6
475,15.833,,5,1,1,7
476,15.867,,5,1,1,7
477,15.9,,4,,1,5
478,15.933,,5,2,1,8
479,15.967,,5,2,1,8
480,16.0,1,4,,,5
481,16.033,1,4,1,1,7
482,16.067,1,4,1,1,7
483,16.1,,4,1,1,6
484,16.133,,4,1,1,6
485,16.167,,4,1,1,6
486,16.2,1,4,,,5
487,16.233,1,4,,1,6
488,16.267,1,4,,1,6
489,16.3,,4,,1,5
490,16.333,,5,,1,6
491,16.367,,5,,1,6
492,16.4,1,4,,1,6
493,16.433,1,5,,1,7
494,16.467,1,5,,1,7
495,16.5,,5,,1,6
496,16.533,,6,,1,7
497,16.567,,6,,1,7
